Study Code,Title,Authors of Study,Year,Link,Attributes of Intuition and Rationality from Evans (2008),Intuition Cluster,Rationality Cluster,Element Classification,Decision Types,Performance Category Classification,Level of Analysis,Antecedent,Contextual
SE11,In Two Minds: How Reections Inuence Software Design Thinking,"Razavian, M., Tang, A., Capilla, R. and Lago, P.",2016,https://doi.org/10.1002/smr.1776,"Intuition:ASO, HOL, reflective
 Rationality: CTX, CTR, RUL","I-CON, I-FUNC","R-CON, R-FUNC","INT, RAT","DP, PS, SS",DMP,IDM,A-ORG,C-PER
SE12,Reflective Approach for Software Design Decision Making.,"Razavian, M., Tang, A., Capilla, R. and Lago, P.",2016,https://doi.org/10.1109/QRASA.2016.8,"Intuition:ASO, HOL, reflective
Rationality: CTX, CTR, RUL","I-CON, I-FUNC","R-CON, R-FUNC","INT, RAT","DP, PS, SS",,IDM,A-ORG,
SE13,"Software Architecture Design Reasoning: A Card Game
to Help Novice Designers.","Schriek, C., van der Werf, J. M. E. M., Tang, A. and Bex, F. ",2016,https://doi.org/10.1007/978-3-319-48992-6_2,"CTR, HIEFF, LOG, RUL",,"R-CON, R-FUNC",RAT,"DP, PS, SS",,TDM,A-TEC,
SE14,"Software Designers, Are You Biased?","Tang, A. ",2011,https://doi.org/10.1145/1988676.1988678,CTR,,R-CON,RAT,"DP, PS, SS",,IDM,,
SE15,Design Reasoning Improves Software Design Quality,"Tang, A., Tran, M. H., Han, J. and Van Vliet, H.",2008,https://doi.org/10.1007/978-3-540-87879-7_2,"CTR, EXP, LANG",,"R-CON, R-EVO",RAT,SS,PO,IDM,,C-PER
SE16,"Human Aspects in Software Architecture Decision Making A
Literature Review.","Tang, A., Razavian, M., Paech, B. and Hesse, T.-M.",2017,https://doi.org/10.1109/ICSA.2017.15,,,,,,,"IDM, TDM",,
SE17,"Improving Software Design Reasoning – A Reminder Card
Approach.","Tang, A., Bex, F., Schriek, C. and van der Werf, J. M. E.",2018,https://doi.org/10.1016/j.jss.2018.05.019,"CTR, EXP, LANG",,"R-CON, R-EVO",RAT,"DP, PS, SS",,TDM,,
SE18,Software Designers Satisfice.,"Tang, A. and van Vliet, H.",2012,https://doi.org/10.1007/978-3-319-23727-5_9,CTR,,R-CON,RAT,"PS, SS",,IDM,,
SE19,"Does Decision Documentation Help Junior Designers Rationalize their
Decisions? A Comparative Multiple-Case Study.","Van Heesch, U., Avgeriou, P. and Tang, A.",2013,https://doi.org/10.1016/j.jss.2013.01.057,"CTR, HIEFF, LOG, RUL",,"R-CON, R-FUNC",RAT,"DP, PS, SS",,TDM,A-ORG,
SE20,Decision Making in Software Architecture.,"Van Vliet, H. and Tang, A.",2016,https://doi.org/10.1016/j.jss.2016.01.017,,,,,"PS, SS",,TDM,,
SE21,On Cognitive Biases in Architecture Decision Making.,"Zalewski, A., Borowa, K. and Ratkowski, A.",2017,https://doi.org/10.1007/978-3-319-65831-5_9,"RAP, LOEFF, automatic, ASO","I-CON, I-FUNC",,INT,"DP, PS, SS",,IDM,,
SE22,"Model of Design Decision Making Based on Empirical Results of Interviews
with Software Designers.","Zannier, C., Chiasson, M. and Maurer, F.",2007,https://doi.org/10.1016/j.infsof.2007.02.010,"Intuition: ASO, CTX, experiential, LOEFF, RAP 
Rationality: CTR, HIEFF, RUL","I-CON, I-EVO, I-FUNC","R-CON, R-FUNC","INT, RAT","PS, SS",,IDM,A-REQ,
SE23,A Qualitative Empirical Evaluation of Design Decisions.,"Zannier, C. andMaurer, F.",2005,https://doi.org/10.1145/1082983.1083124,,,,,"PS, SS",,"IDM, TDM",,
SE24,Foundations of Agile Decision Making from Agile Mentors and Developers,"Zannier, C. andMaurer, F.",2006,https://doi.org/10.1007/11774129_2,"Intuition: ASO, CTX, experiential, LOEFF, RAP
Rationality: CTR, HIEFF, RUL","I-CON, I-EVO, I-FUNC","R-CON, R-FUNC","INT, RAT","PS, SS",,IDM,,
SE25,Comparing Decision Making in Agile and Non-Agile Software Organizations,"Zannier, C. andMaurer, F.",2007,https://doi.org/10.1007/978-3-540-73101-6_1,"Intuition: ASO, CTX, experiential, LOEFF, RAP 
Rationality: CTR, HIEFF, RUL","I-CON, I-EVO, I-FUNC","R-CON, R-FUNC","INT, RAT","PS, SS",,"IDM, TDM",A-REQ,
SE26,Social Factors Relevant to Capturing Design Decisions,"Zannier, C. andMaurer, F.",2007,https://doi.org/10.1109/SHARK-ADI.2007.12,"CTR, HIEFF, RUL",,"R-CON, R-FUNC",RAT,"PS, SS",,TDM,A-APP,
,,,,,,,,,,,,,
